"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VK02",0,0.0387457008076532,0.551493627300041,0
"VK03",0,0.0566251792295448,0.646780351490171,0
"VK04",0,0.0958417882690903,0.763798908100831,0
"VK05",0,0.115600356915798,0.799497482714964,0
"VK06",0,0.098520148398047,0.769262217374705,0
"VK07",0,0.0650256201025931,0.679655441357851,1
"VK08",0,0.0677320651846649,0.689089491261105,0
"VK09",0,0.0646482428228905,0.678298822877396,0
"VK10",0,0.0344572059814821,0.521225812406628,0
"VK11",0,0.0501715096840398,0.617061071919513,1
"VK12",0,0.0631071110412191,0.672649092510387,0
"VK13",0,0.0668978135256298,0.686235497697626,0
"VK14",0,0.0802531777291169,0.726912628589361,0
"VK15",0,0.138063309040748,0.830117058000615,0
"VK16",0,0.155154215494507,0.848539534189907,0
"VK17",0,0.124634931878592,0.812855830343666,1
"VK18",0,0.113130305410609,0.795559525434555,1
"VK19",0,0.142184185587543,0.83488619716833,0
"VK20",0,0.032981378530524,0.509911688046752,0
"VK21",0,0.0503070422781779,0.61773203622446,0
"VK22",0,0.0637640406510238,0.675079176734,0
"VK23",0,0.0955545200033035,0.763199514678422,0
"VK24",1,0.11077420187599,0.791677920425727,1
"VK25",1,0.143660925193657,0.836541364918978,1
"VK26",0,0.206016683786296,0.887835634973561,1
"VK27",1,0.189571745403293,0.877087207166676,1
